name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date 
HD 141004 b,39,13.63484 Earths,4.4154,2021
HD 141399 b,121,0.451 Jupiters,7.20856,2014
HD 141399 c,121,1.33 Jupiters,7.20856,2014
HD 141399 d,121,1.18 Jupiters,7.20856,2014
HD 141399 e,121,0.66 Jupiters,7.20856,2014
HD 141937 b,109,9.69 Jupiters,7.25,2002
HD 142022 A b,112,4.44 Jupiters,7.7,2005
HD 142245 b,317,3.07 Jupiters,7.46,2011
HD 142415 b,116,1.67 Jupiters,7.33,2003
HD 142 A d,85,0.25683 Jupiters,5.7,2022
HD 150010 b,471,2.4 Jupiters,6.2893,2022
HD 1502 b,623,2.75 Jupiters,8.36,2011
HD 150706 b,92,2.71 Jupiters,7.03,2012
HD 151450 b,142,37.24604 Earths,7.43,2022
HD 151450 c,142,5.14148 Jupiters,7.43,2022
HD 152079 b,287,2.661 Jupiters,9.18,2009
HD 152581 b,541,1.869 Jupiters,8.38,2011
HD 152843 b,352,11.56 Earths,8.855,2021
HD 152843 c,352,27.5 Earths,8.855,2021
HD 15337 b,146,7.51 Earths,9.1,2019
HD 15337 c,146,8.11 Earths,9.1,2019
HD 153557 b,59,20.05856 Earths,7.83,2022
HD 153557 c,59,17.30766 Earths,7.83,2022
HD 153557 d,59,27.31185 Jupiters,7.83,2022
HD 153950 b,158,2.95 Jupiters,7.39,2008
HD 154088 b,60,6.6 Earths,6.59,2021
HD 154345 b,60,0.82 Jupiters,6.76,2006
HD 154672 b,206,5.37 Jupiters,8.21,2008
HD 154857 b,207,2.45 Jupiters,7.24,2004
HD 154857 c,207,2.58 Jupiters,7.24,2014
HD 155193 b,189,0.75 Jupiters,7.0092,2021
HD 155233 b,242,2.6 Jupiters,6.81,2015
HD 155358 b,142,0.99 Jupiters,7.28,2007
HD 155358 c,142,0.82 Jupiters,7.28,2007
HD 155918 b,90,7.50192 Earths,7,2022
HD 142 b,85,1.24444 Jupiters,5.7,2001
HD 142 c,85,11.07937 Jupiters,5.7,2012
HD 143105 b,153,1.21 Jupiters,6.77005,2016
HD 143361 b,223,3.532 Jupiters,9.2,2008
HD 144899 b,377,20.42286 Earths,8.97,2022
HD 145377 b,174,6.02 Jupiters,9.236,2008
HD 145457 b,441,2.23 Jupiters,6.57226,2010
HD 145675 c,58,4.98051 Jupiters,6.61935,2021
HD 145934 b,743,2.3994 Jupiters,8.495,2015
HD 1461 b,77,6.44 Earths,6.47933,2010
HD 1461 c,77,5.59 Earths,6.47933,2015
HD 147018 b,132,2.12 Jupiters,8.3,2009
HD 147018 c,132,6.56 Jupiters,8.3,2009
HD 147379 b,35,28.55 Earths,8.61,2017
HD 147513 b,42,1.21 Jupiters,5.37,2003
HD 147873 b,356,5.14 Jupiters,7.96,2016
HD 147873 c,356,2.3 Jupiters,7.96,2016
HD 14787 b,389,1.121 Jupiters,7.63,2018
HD 148156 b,186,0.85 Jupiters,7.69,2009
HD 148164 b,252,1.23 Jupiters,8.23,2018
HD 148164 c,252,5.16 Jupiters,8.23,2018
HD 148427 b,233,1.3 Jupiters,6.90498,2009
HD 149026 b,247,0.38 Jupiters,8.15,2005
HD 149143 b,239,1.33 Jupiters,7.89,2005
HD 149806 b,66,12.2018 Jupiters,7.08308,2022
HD 150010 b,471,2.4 Jupiters,6.2893,2022
HD 1502 b,623,2.75 Jupiters,8.36,2011
HD 150706 b,92,2.71 Jupiters,7.03,2012
HD 151450 b,142,37.24604 Earths,7.43,2022
HD 151450 c,142,5.14148 Jupiters,7.43,2022
HD 152079 b,287,2.661 Jupiters,9.18,2009
HD 152581 b,541,1.869 Jupiters,8.38,2011
HD 152843 b,352,11.56 Earths,8.855,2021
HD 152843 c,352,27.5 Earths,8.855,2021
HD 15337 b,146,7.51 Earths,9.1,2019
HD 15337 c,146,8.11 Earths,9.1,2019
HD 153557 b,59,20.05856 Earths,7.83,2022
HD 153557 c,59,17.30766 Earths,7.83,2022
HD 153557 d,59,27.31185 Jupiters,7.83,2022
HD 153950 b,158,2.95 Jupiters,7.39,2008
HD 154088 b,60,6.6 Earths,6.59,2021
HD 154345 b,60,0.82 Jupiters,6.76,2006
HD 154672 b,206,5.37 Jupiters,8.21,2008
HD 154857 b,207,2.45 Jupiters,7.24,2004
HD 154857 c,207,2.58 Jupiters,7.24,2014
HD 155193 b,189,0.75 Jupiters,7.0092,2021
HD 155233 b,242,2.6 Jupiters,6.81,2015
HD 155358 b,142,0.99 Jupiters,7.28,2007
HD 155358 c,142,0.82 Jupiters,7.28,2007
HD 155918 b,90,7.50192 Earths,7,2022
HD 150010 b,471,2.4 Jupiters,6.2893,2022
HD 1502 b,623,2.75 Jupiters,8.36,2011
HD 150706 b,92,2.71 Jupiters,7.03,2012
HD 151450 b,142,37.24604 Earths,7.43,2022
HD 151450 c,142,5.14148 Jupiters,7.43,2022
HD 152079 b,287,2.661 Jupiters,9.18,2009
HD 152581 b,541,1.869 Jupiters,8.38,2011
HD 152843 b,352,11.56 Earths,8.855,2021
HD 152843 c,352,27.5 Earths,8.855,2021
HD 15337 b,146,7.51 Earths,9.1,2019
HD 15337 c,146,8.11 Earths,9.1,2019
HD 153557 b,59,20.05856 Earths,7.83,2022
HD 153557 c,59,17.30766 Earths,7.83,2022
HD 153557 d,59,27.31185 Jupiters,7.83,2022
HD 153950 b,158,2.95 Jupiters,7.39,2008
HD 154088 b,60,6.6 Earths,6.59,2021
HD 154345 b,60,0.82 Jupiters,6.76,2006
HD 154672 b,206,5.37 Jupiters,8.21,2008
HD 154857 b,207,2.45 Jupiters,7.24,2004
HD 154857 c,207,2.58 Jupiters,7.24,2014
HD 155193 b,189,0.75 Jupiters,7.0092,2021
HD 155233 b,242,2.6 Jupiters,6.81,2015
HD 155358 b,142,0.99 Jupiters,7.28,2007
HD 155358 c,142,0.82 Jupiters,7.28,2007
HD 155918 b,90,7.50192 Earths,7,2022
HD 155918 c,90,5.8203 Jupiters,7,2022
HD 156098 b,157,17.14419 Earths,5.53,2022
HD 156098 c,157,5.22768 Jupiters,5.53,2022
HD 156279 b,118,9.42403 Jupiters,8.07,2011
HD 156279 c,118,10.09039 Jupiters,8.07,2018
HD 156411 b,185,0.74 Jupiters,6.67,2009
HD 156668 b,79,4.15 Earths,8.43,2010
HD 156668 c,79,31.4968 Earths,8.43,2021
HD 156846 b,156,10.67 Jupiters,6.5,2007
HD 158038 b,309,1.53 Jupiters,7.47,2011
HD 158259 b,88,2.22 Earths,6.47915,2020
HD 158259 c,88,5.6 Earths,6.47915,2020
HD 158259 d,88,5.41 Earths,6.47915,2020
HD 158259 e,88,6.08 Earths,6.47915,2020
HD 158259 f,88,6.14 Earths,6.47915,2020
HD 158996 b,925,14 Jupiters,5.72291,2018
HD 159243 b,239,1.13 Jupiters,8.65,2013
HD 159243 c,239,1.9 Jupiters,8.65,2013
HD 159868 b,182,2.218 Jupiters,7.24,2006
HD 159868 c,182,0.768 Jupiters,7.24,2012
HD 1605 b,290,0.934 Jupiters,7.52,2015
HD 1605 c,290,3.62 Jupiters,7.52,2015
HD 160691 b,51,4.3 Jupiters,5.12,2000
HD 160691 c,51,4.4 Jupiters,5.12,2004
HD 160691 d,51,10.17 Earths,5.12,2004
HD 160691 e,51,7 Jupiters,5.12,2006
HD 161178 b,350,0.57 Jupiters,5.88375,2021
HD 16141 b,123,0.26 Jupiters,6.834,2000
HD 16175 b,195,5.1 Jupiters,7.297,2009
HD 162020 b,101,9.84 Jupiters,9.1,2002
HD 163607 b,221,0.7836 Jupiters,8,2010
HD 163607 c,221,2.201 Jupiters,8,2010
HD 16417 b,83,22.1 Earths,5.78,2008
HD 164509 b,173,0.443 Jupiters,8.1,2010
HD 164595 b,92,16.14 Earths,7.08597,2015
HD 164604 b,128,1.99792 Jupiters,9.62,2009
HD 164922 b,72,0.36497 Jupiters,7.01227,2005
HD 164922 c,72,13 Earths,7.01227,2016
HD 164922 d,72,4 Earths,7.01227,2020
HD 164922 e,72,10.52012 Earths,7.01227,2021
HD 165155 b,207,2.89 Jupiters,9.36,2016
HD 1666 b,385,6.43 Jupiters,8.17,2015
HD 166724 b,147,3.53 Jupiters,9.33,2012
HD 167042 b,162,1.7 Jupiters,5.98796,2007
HD 168009 b,76,9.53485 Earths,6.295,2021
HD 168443 b,129,7.6231 Jupiters,6.92122,1998
HD 168443 c,129,18.03941 Jupiters,6.92122,2000
HD 168746 b,136,0.27 Jupiters,7.95,2002
HD 168863 b,130,6.75311 Jupiters,9.35,2022
HD 16905 b,130,9.07864 Jupiters,9.44,2022
HD 160691 e,51,7 Jupiters,5.12,2006
HD 161178 b,350,0.57 Jupiters,5.88375,2021
HD 16141 b,123,0.26 Jupiters,6.834,2000
HD 16175 b,195,5.1 Jupiters,7.297,2009
HD 162020 b,101,9.84 Jupiters,9.1,2002
HD 163607 b,221,0.7836 Jupiters,8,2010
HD 163607 c,221,2.201 Jupiters,8,2010
HD 16417 b,83,22.1 Earths,5.78,2008
HD 164509 b,173,0.443 Jupiters,8.1,2010
HD 164595 b,92,16.14 Earths,7.08597,2015
HD 164604 b,128,1.99792 Jupiters,9.62,2009
HD 164922 b,72,0.36497 Jupiters,7.01227,2005
HD 164922 c,72,13 Earths,7.01227,2016
HD 164922 d,72,4 Earths,7.01227,2020
HD 164922 e,72,10.52012 Earths,7.01227,2021
HD 165155 b,207,2.89 Jupiters,9.36,2016
HD 1666 b,385,6.43 Jupiters,8.17,2015
HD 166724 b,147,3.53 Jupiters,9.33,2012
HD 167042 b,162,1.7 Jupiters,5.98796,2007
HD 168009 b,76,9.53485 Earths,6.295,2021
HD 168443 b,129,7.6231 Jupiters,6.92122,1998
HD 168443 c,129,18.03941 Jupiters,6.92122,2000
HD 168746 b,136,0.27 Jupiters,7.95,2002
HD 168863 b,130,6.75311 Jupiters,9.35,2022
HD 16905 b,130,9.07864 Jupiters,9.44,2022
HD 160691 e,51,7 Jupiters,5.12,2006
HD 161178 b,350,0.57 Jupiters,5.88375,2021
HD 16141 b,123,0.26 Jupiters,6.834,2000
HD 16175 b,195,5.1 Jupiters,7.297,2009
HD 162020 b,101,9.84 Jupiters,9.1,2002
HD 163607 b,221,0.7836 Jupiters,8,2010
HD 163607 c,221,2.201 Jupiters,8,2010
HD 16417 b,83,22.1 Earths,5.78,2008
HD 164509 b,173,0.443 Jupiters,8.1,2010
HD 164595 b,92,16.14 Earths,7.08597,2015
HD 164604 b,128,1.99792 Jupiters,9.62,2009
HD 164922 b,72,0.36497 Jupiters,7.01227,2005
HD 164922 c,72,13 Earths,7.01227,2016
HD 164922 d,72,4 Earths,7.01227,2020
HD 164922 e,72,10.52012 Earths,7.01227,2021
HD 165155 b,207,2.89 Jupiters,9.36,2016
HD 1666 b,385,6.43 Jupiters,8.17,2015
HD 166724 b,147,3.53 Jupiters,9.33,2012
HD 167042 b,162,1.7 Jupiters,5.98796,2007
HD 168009 b,76,9.53485 Earths,6.295,2021
HD 168443 b,129,7.6231 Jupiters,6.92122,1998
HD 168443 c,129,18.03941 Jupiters,6.92122,2000
HD 168746 b,136,0.27 Jupiters,7.95,2002
HD 168863 b,130,6.75311 Jupiters,9.35,2022
HD 16905 b,130,9.07864 Jupiters,9.44,2022
HD 160691 e,51,7 Jupiters,5.12,2006
HD 161178 b,350,0.57 Jupiters,5.88375,2021
HD 16141 b,123,0.26 Jupiters,6.834,2000
HD 16175 b,195,5.1 Jupiters,7.297,2009
HD 162020 b,101,9.84 Jupiters,9.1,2002
HD 163607 b,221,0.7836 Jupiters,8,2010
HD 163607 c,221,2.201 Jupiters,8,2010
HD 16417 b,83,22.1 Earths,5.78,2008
HD 164509 b,173,0.443 Jupiters,8.1,2010
HD 164595 b,92,16.14 Earths,7.08597,2015
HD 164604 b,128,1.99792 Jupiters,9.62,2009
HD 164922 b,72,0.36497 Jupiters,7.01227,2005
HD 164922 c,72,13 Earths,7.01227,2016
HD 164922 d,72,4 Earths,7.01227,2020
HD 164922 e,72,10.52012 Earths,7.01227,2021
HD 165155 b,207,2.89 Jupiters,9.36,2016
HD 1666 b,385,6.43 Jupiters,8.17,2015
HD 166724 b,147,3.53 Jupiters,9.33,2012
HD 167042 b,162,1.7 Jupiters,5.98796,2007
HD 168009 b,76,9.53485 Earths,6.295,2021
HD 168443 b,129,7.6231 Jupiters,6.92122,1998
HD 168443 c,129,18.03941 Jupiters,6.92122,2000
HD 168746 b,136,0.27 Jupiters,7.95,2002
HD 168863 b,130,6.75311 Jupiters,9.35,2022
HD 16905 b,130,9.07864 Jupiters,9.44,2022
HD 1690 b,2455,8.79 Jupiters,9.19,2010
HD 169830 b,123,2.52834 Jupiters,5.9,2000
HD 169830 c,123,7.11033 Jupiters,5.9,2003
HD 170469 b,196,0.66 Jupiters,8.21,2007
HD 17092 b,745,10.13 Jupiters,7.732,2007
HD 171028 b,364,2.62 Jupiters,8.292,2007
HD 171238 b,146,8.8 Jupiters,8.61,2009
HD 17156 b,255,3.51 Jupiters,8.17,2007
HD 173416 b,431,2.7 Jupiters,6.04188,2008
HD 174205 b,763,4.2 Jupiters,6.28209,2022
HD 175167 b,232,6.80125 Jupiters,8.01,2009
HD 175541 b,423,0.598 Jupiters,8.020001,2007
HD 175607 b,132,8.98 Earths,8.6,2015
HD 17674 b,145,0.87 Jupiters,7.535,2017
HD 176986 b,91,5.74 Earths,8.42,2017
HD 176986 c,91,9.18 Earths,8.42,2017
HD 177565 b,55,15.1 Earths,6.15,2017
HD 177830 b,205,1.69 Jupiters,7.18,1999
HD 177830 c,205,0.15 Jupiters,7.18,2010
HD 178911 B b,134,8.03 Jupiters,7.97,2001
HD 179079 b,227,25.74423 Earths,7.95,2008
HD 179949 b,90,0.916 Jupiters,6.25,2000
HD 180053 b,447,2.194 Jupiters,7.93,2018
HD 18015 b,404,3.18 Jupiters,7.89,2018
HD 180314 b,399,20.13 Jupiters,6.61519,2010
HD 1690 b,2455,8.79 Jupiters,9.19,2010
HD 169830 b,123,2.52834 Jupiters,5.9,2000
HD 169830 c,123,7.11033 Jupiters,5.9,2003
HD 170469 b,196,0.66 Jupiters,8.21,2007
HD 17092 b,745,10.13 Jupiters,7.732,2007
HD 171028 b,364,2.62 Jupiters,8.292,2007
HD 171238 b,146,8.8 Jupiters,8.61,2009
HD 17156 b,255,3.51 Jupiters,8.17,2007
HD 173416 b,431,2.7 Jupiters,6.04188,2008
HD 174205 b,763,4.2 Jupiters,6.28209,2022
HD 175167 b,232,6.80125 Jupiters,8.01,2009
HD 175541 b,423,0.598 Jupiters,8.020001,2007
HD 175607 b,132,8.98 Earths,8.6,2015
HD 17674 b,145,0.87 Jupiters,7.535,2017
HD 176986 b,91,5.74 Earths,8.42,2017
HD 176986 c,91,9.18 Earths,8.42,2017
HD 177565 b,55,15.1 Earths,6.15,2017
HD 177830 b,205,1.69 Jupiters,7.18,1999
HD 177830 c,205,0.15 Jupiters,7.18,2010
HD 178911 B b,134,8.03 Jupiters,7.97,2001
HD 179079 b,227,25.74423 Earths,7.95,2008
HD 179949 b,90,0.916 Jupiters,6.25,2000
HD 180053 b,447,2.194 Jupiters,7.93,2018
HD 18015 b,404,3.18 Jupiters,7.89,2018
HD 180314 b,399,20.13 Jupiters,6.61519,2010
HD 1690 b,2455,8.79 Jupiters,9.19,2010
HD 169830 b,123,2.52834 Jupiters,5.9,2000
HD 169830 c,123,7.11033 Jupiters,5.9,2003
HD 170469 b,196,0.66 Jupiters,8.21,2007
HD 17092 b,745,10.13 Jupiters,7.732,2007
HD 171028 b,364,2.62 Jupiters,8.292,2007
HD 171238 b,146,8.8 Jupiters,8.61,2009
HD 17156 b,255,3.51 Jupiters,8.17,2007
HD 173416 b,431,2.7 Jupiters,6.04188,2008
HD 174205 b,763,4.2 Jupiters,6.28209,2022
HD 175167 b,232,6.80125 Jupiters,8.01,2009
HD 175541 b,423,0.598 Jupiters,8.020001,2007
HD 175607 b,132,8.98 Earths,8.6,2015
HD 17674 b,145,0.87 Jupiters,7.535,2017
HD 176986 b,91,5.74 Earths,8.42,2017
HD 176986 c,91,9.18 Earths,8.42,2017
HD 177565 b,55,15.1 Earths,6.15,2017
HD 177830 b,205,1.69 Jupiters,7.18,1999
HD 177830 c,205,0.15 Jupiters,7.18,2010
HD 178911 B b,134,8.03 Jupiters,7.97,2001
HD 179079 b,227,25.74423 Earths,7.95,2008
HD 179949 b,90,0.916 Jupiters,6.25,2000
HD 180053 b,447,2.194 Jupiters,7.93,2018
HD 18015 b,404,3.18 Jupiters,7.89,2018
HD 180314 b,399,20.13 Jupiters,6.61519,2010
HD 180617 b,19,12.214 Earths,9.12,2018
HD 180902 b,341,1.685 Jupiters,7.78,2009
HD 181234 b,156,9.37932 Jupiters,8.59,2019
HD 181342 b,393,2.54 Jupiters,7.55,2009
HD 181433 b,88,6.3566 Earths,8.4,2008
HD 181433 c,88,0.64 Jupiters,8.4,2008
HD 181433 d,88,0.54 Jupiters,8.4,2008
HD 18143 b,73,10.50968 Earths,7.518,2022
HD 18143 c,73,9.80228 Jupiters,7.518,2022
HD 181720 b,196,0.4 Jupiters,7.84,2009
HD 183263 b,177,3.46739 Jupiters,7.86,2004
HD 183263 c,177,9.31015 Jupiters,7.86,2008
HD 183579 b,187,19.7 Earths,8.67,2021
HD 185269 b,170,1.01 Jupiters,6.67973,2006
HD 187085 b,150,0.836 Jupiters,7.22,2006
HD 187123 b,150,0.523 Jupiters,7.83,1998
HD 187123 c,150,1.99 Jupiters,7.83,2008
HD 18742 b,531,3.4 Jupiters,7.81,2011
HD 188015 b,165,1.5 Jupiters,8.24,2004
HD 188641 b,210,29.14349 Jupiters,7.34,2022
HD 189567 b,58,8.5 Earths,6.074,2021
HD 189567 c,58,7 Earths,6.074,2021
HD 189733 b,64,1.13 Jupiters,7.67,2005
HD 190007 b,41,16.46 Earths,7.46,2020
HD 190228 b,205,5.4332 Jupiters,7.3,2022
HD 190360 b,52,1.8 Jupiters,5.738,2003
HD 190360 c,52,19.069 Earths,5.738,2005
HD 190647 b,178,1.985 Jupiters,7.78,2007
HD 190984 b,483,3.1 Jupiters,8.76,2009
HD 191806 b,214,9.34112 Jupiters,8.09,2016
HD 191939 b,175,10.4 Earths,8.97,2020
HD 191939 c,175,7.2 Earths,8.97,2020
HD 191939 d,175,5.8 Earths,8.97,2020
HD 191939 e,175,0.33981 Jupiters,8.97,2022
HD 191939 f,175,6.49722 Jupiters,8.97,2022
HD 192263 b,64,0.56 Jupiters,7.79,1999
HD 192310 b,29,16.9 Earths,5.73,2011
HD 192310 c,29,24 Earths,5.73,2011
HD 192699 b,234,2.096 Jupiters,6.45591,2007
HD 194490 b,262,11.26401 Jupiters,8.99,2022
HD 195019 b,123,3.98 Jupiters,6.87591,1998
HD 196050 b,165,3.18 Jupiters,7.5,2002
HD 196067 b,130,12.5 Jupiters,6.51,2012
HD 19615 b,865,8.5 Jupiters,6.55594,2022
HD 196885 A b,111,2.58 Jupiters,6.39677,2007
HD 197037 b,108,0.79 Jupiters,6.82294,2012
HD 199509 b,79,0.13487 Jupiters,6.98,2022
HD 19994 b,73,1.37 Jupiters,5.06345,2003
HD 20003 b,136,11.66 Earths,8.39,2019
HD 20003 c,136,14.44 Earths,8.39,2019
HD 190360 b,52,1.8 Jupiters,5.738,2003
HD 190360 c,52,19.069 Earths,5.738,2005
HD 190647 b,178,1.985 Jupiters,7.78,2007
HD 190984 b,483,3.1 Jupiters,8.76,2009
HD 191806 b,214,9.34112 Jupiters,8.09,2016
HD 191939 b,175,10.4 Earths,8.97,2020
HD 191939 c,175,7.2 Earths,8.97,2020
HD 191939 d,175,5.8 Earths,8.97,2020
HD 191939 e,175,0.33981 Jupiters,8.97,2022
HD 191939 f,175,6.49722 Jupiters,8.97,2022
HD 192263 b,64,0.56 Jupiters,7.79,1999
HD 192310 b,29,16.9 Earths,5.73,2011
HD 192310 c,29,24 Earths,5.73,2011
HD 192699 b,234,2.096 Jupiters,6.45591,2007
HD 194490 b,262,11.26401 Jupiters,8.99,2022
HD 195019 b,123,3.98 Jupiters,6.87591,1998
HD 196050 b,165,3.18 Jupiters,7.5,2002
HD 196067 b,130,12.5 Jupiters,6.51,2012
HD 19615 b,865,8.5 Jupiters,6.55594,2022
HD 196885 A b,111,2.58 Jupiters,6.39677,2007
HD 197037 b,108,0.79 Jupiters,6.82294,2012
HD 199509 b,79,0.13487 Jupiters,6.98,2022
HD 19994 b,73,1.37 Jupiters,5.06345,2003
HD 20003 b,136,11.66 Earths,8.39,2019
HD 20003 c,136,14.44 Earths,8.39,2019
HD 190360 b,52,1.8 Jupiters,5.738,2003
HD 190360 c,52,19.069 Earths,5.738,2005
HD 190647 b,178,1.985 Jupiters,7.78,2007
HD 190984 b,483,3.1 Jupiters,8.76,2009
HD 191806 b,214,9.34112 Jupiters,8.09,2016
HD 191939 b,175,10.4 Earths,8.97,2020
HD 191939 c,175,7.2 Earths,8.97,2020
HD 191939 d,175,5.8 Earths,8.97,2020
HD 191939 e,175,0.33981 Jupiters,8.97,2022
HD 191939 f,175,6.49722 Jupiters,8.97,2022
HD 192263 b,64,0.56 Jupiters,7.79,1999
HD 192310 b,29,16.9 Earths,5.73,2011
HD 192310 c,29,24 Earths,5.73,2011
HD 192699 b,234,2.096 Jupiters,6.45591,2007
HD 194490 b,262,11.26401 Jupiters,8.99,2022
HD 195019 b,123,3.98 Jupiters,6.87591,1998
HD 196050 b,165,3.18 Jupiters,7.5,2002
HD 196067 b,130,12.5 Jupiters,6.51,2012
HD 19615 b,865,8.5 Jupiters,6.55594,2022
HD 196885 A b,111,2.58 Jupiters,6.39677,2007
HD 197037 b,108,0.79 Jupiters,6.82294,2012
HD 199509 b,79,0.13487 Jupiters,6.98,2022
HD 19994 b,73,1.37 Jupiters,5.06345,2003
HD 20003 b,136,11.66 Earths,8.39,2019
HD 20003 c,136,14.44 Earths,8.39,2019
HD 190360 b,52,1.8 Jupiters,5.738,2003
HD 190360 c,52,19.069 Earths,5.738,2005
HD 190647 b,178,1.985 Jupiters,7.78,2007
HD 190984 b,483,3.1 Jupiters,8.76,2009
HD 191806 b,214,9.34112 Jupiters,8.09,2016
HD 191939 b,175,10.4 Earths,8.97,2020
HD 191939 c,175,7.2 Earths,8.97,2020
HD 191939 d,175,5.8 Earths,8.97,2020
HD 191939 e,175,0.33981 Jupiters,8.97,2022
HD 191939 f,175,6.49722 Jupiters,8.97,2022
HD 192263 b,64,0.56 Jupiters,7.79,1999
HD 192310 b,29,16.9 Earths,5.73,2011
HD 192310 c,29,24 Earths,5.73,2011
HD 192699 b,234,2.096 Jupiters,6.45591,2007
HD 194490 b,262,11.26401 Jupiters,8.99,2022
HD 195019 b,123,3.98 Jupiters,6.87591,1998
HD 196050 b,165,3.18 Jupiters,7.5,2002
HD 196067 b,130,12.5 Jupiters,6.51,2012
HD 19615 b,865,8.5 Jupiters,6.55594,2022
HD 196885 A b,111,2.58 Jupiters,6.39677,2007
HD 197037 b,108,0.79 Jupiters,6.82294,2012
HD 199509 b,79,0.13487 Jupiters,6.98,2022
HD 19994 b,73,1.37 Jupiters,5.06345,2003
HD 20003 b,136,11.66 Earths,8.39,2019
HD 20003 c,136,14.44 Earths,8.39,2019
HD 190360 b,52,1.8 Jupiters,5.738,2003
HD 190360 c,52,19.069 Earths,5.738,2005
HD 190647 b,178,1.985 Jupiters,7.78,2007
HD 190984 b,483,3.1 Jupiters,8.76,2009
HD 191806 b,214,9.34112 Jupiters,8.09,2016
HD 191939 b,175,10.4 Earths,8.97,2020
HD 191939 c,175,7.2 Earths,8.97,2020
HD 191939 d,175,5.8 Earths,8.97,2020
HD 191939 e,175,0.33981 Jupiters,8.97,2022
HD 191939 f,175,6.49722 Jupiters,8.97,2022
HD 192263 b,64,0.56 Jupiters,7.79,1999
HD 192310 b,29,16.9 Earths,5.73,2011
HD 192310 c,29,24 Earths,5.73,2011
HD 192699 b,234,2.096 Jupiters,6.45591,2007
HD 194490 b,262,11.26401 Jupiters,8.99,2022
HD 195019 b,123,3.98 Jupiters,6.87591,1998
HD 196050 b,165,3.18 Jupiters,7.5,2002
HD 196067 b,130,12.5 Jupiters,6.51,2012
HD 19615 b,865,8.5 Jupiters,6.55594,2022
HD 196885 A b,111,2.58 Jupiters,6.39677,2007
HD 197037 b,108,0.79 Jupiters,6.82294,2012
HD 199509 b,79,0.13487 Jupiters,6.98,2022
HD 19994 b,73,1.37 Jupiters,5.06345,2003
HD 20003 b,136,11.66 Earths,8.39,2019
HD 20003 c,136,14.44 Earths,8.39,2019
HD 190360 b,52,1.8 Jupiters,5.738,2003
HD 190360 c,52,19.069 Earths,5.738,2005
HD 190647 b,178,1.985 Jupiters,7.78,2007
HD 190984 b,483,3.1 Jupiters,8.76,2009
HD 191806 b,214,9.34112 Jupiters,8.09,2016
HD 191939 b,175,10.4 Earths,8.97,2020
HD 191939 c,175,7.2 Earths,8.97,2020
HD 191939 d,175,5.8 Earths,8.97,2020
HD 191939 e,175,0.33981 Jupiters,8.97,2022
HD 191939 f,175,6.49722 Jupiters,8.97,2022
HD 192263 b,64,0.56 Jupiters,7.79,1999
HD 192310 b,29,16.9 Earths,5.73,2011
HD 192310 c,29,24 Earths,5.73,2011
HD 192699 b,234,2.096 Jupiters,6.45591,2007
HD 194490 b,262,11.26401 Jupiters,8.99,2022
HD 195019 b,123,3.98 Jupiters,6.87591,1998
HD 196050 b,165,3.18 Jupiters,7.5,2002
HD 196067 b,130,12.5 Jupiters,6.51,2012
HD 19615 b,865,8.5 Jupiters,6.55594,2022
HD 196885 A b,111,2.58 Jupiters,6.39677,2007
HD 197037 b,108,0.79 Jupiters,6.82294,2012
HD 199509 b,79,0.13487 Jupiters,6.98,2022
HD 19994 b,73,1.37 Jupiters,5.06345,2003
HD 20003 b,136,11.66 Earths,8.39,2019
HD 20003 c,136,14.44 Earths,8.39,2019
HD 190360 b,52,1.8 Jupiters,5.738,2003
HD 190360 c,52,19.069 Earths,5.738,2005
HD 190647 b,178,1.985 Jupiters,7.78,2007
HD 190984 b,483,3.1 Jupiters,8.76,2009
HD 191806 b,214,9.34112 Jupiters,8.09,2016
HD 191939 b,175,10.4 Earths,8.97,2020
HD 191939 c,175,7.2 Earths,8.97,2020
HD 191939 d,175,5.8 Earths,8.97,2020
HD 191939 e,175,0.33981 Jupiters,8.97,2022
HD 191939 f,175,6.49722 Jupiters,8.97,2022
HD 192263 b,64,0.56 Jupiters,7.79,1999
HD 192310 b,29,16.9 Earths,5.73,2011
HD 192310 c,29,24 Earths,5.73,2011
HD 192699 b,234,2.096 Jupiters,6.45591,2007
HD 194490 b,262,11.26401 Jupiters,8.99,2022
HD 195019 b,123,3.98 Jupiters,6.87591,1998
HD 196050 b,165,3.18 Jupiters,7.5,2002
HD 196067 b,130,12.5 Jupiters,6.51,2012
HD 19615 b,865,8.5 Jupiters,6.55594,2022
HD 196885 A b,111,2.58 Jupiters,6.39677,2007
HD 197037 b,108,0.79 Jupiters,6.82294,2012
HD 199509 b,79,0.13487 Jupiters,6.98,2022
HD 19994 b,73,1.37 Jupiters,5.06345,2003
HD 20003 b,136,11.66 Earths,8.39,2019
HD 20003 c,136,14.44 Earths,8.39,2019
HD 200964 b,237,1.599 Jupiters,6.48605,2010
HD 200964 c,237,1.214 Jupiters,6.48605,2010
HD 202206 c,150,17.9 Jupiters,8.08,2004
HD 202696 b,615,1.996 Jupiters,8.23,2019
HD 202696 c,615,1.864 Jupiters,8.23,2019
HD 202772 A b,527,1.017 Jupiters,8.324,2019
HD 203030 b,128,11 Jupiters,8.45,2006
HD 203387 b,201,3.494 Jupiters,4.28,2022
HD 203387 c,201,7.47507 Jupiters,4.28,2022
HD 203473 b,237,7.8 Jupiters,8.23,2018
HD 2039 b,280,6.29 Jupiters,9,2002
